runNum,gaVal,tNum,tType,rt,kp,kpAcc,ret,retAcc
Run3,0.8933181395684433,16,nonlure,0.769,j,1,CUE1-0,1
Run3,0.8933181395684433,17,lure,0.451,j,1,CUE1-0,1
Run3,0.8933181395684433,18,lure,0.762,j,1,CUE1-0,1
Run3,0.8933181395684433,19,target,0.794,f,1,CUE1-0,1
Run3,0.8933181395684433,20,nonlure,0.606,j,1,CUE1-0,1
Run3,0.8933181395684433,21,nonlure,0.942,j,1,CUE2-0,1
Run3,0.8933181395684433,22,lure,0.744,j,1,CUE2-0,1
Run3,0.8933181395684433,23,nonlure,0.736,j,1,CUE2-0,1
Run3,0.8933181395684433,24,target,0.698,f,1,CUE2-0,1
Run3,0.8933181395684433,25,nonlure,0.606,j,1,CUE2-0,1
Run3,0.8933181395684433,26,nonlure,0.825,j,1,CUE2-0,1
Run3,0.8933181395684433,27,target,0.657,f,1,CUE2-0,1
Run3,0.8933181395684433,28,nonlure,0.559,j,1,CUE2-0,1
Run3,0.8933181395684433,29,lure,0.854,j,1,STIMULUS27-0,0
Run3,0.8933181395684433,30,lure,0.686,j,1,CUE2-0,1
Run3,0.8933181395684433,31,nonlure,0.577,j,1,CUE3-0,1
Run3,0.8933181395684433,32,nonlure,0.634,j,1,CUE3-0,1
Run3,0.8933181395684433,33,lure,0.728,j,1,CUE3-0,1
Run3,0.8933181395684433,34,nonlure,0.64,j,1,CUE3-0,1
Run3,0.8933181395684433,35,nonlure,0.681,j,1,CUE3-0,1
Run3,0.8933181395684433,36,nonlure,0.633,j,1,CUE3-0,1
Run3,0.8933181395684433,37,lure,0.501,j,1,CUE3-0,1
Run3,0.8933181395684433,38,target,0.657,f,1,CUE3-0,1
Run3,0.8933181395684433,39,lure,0.578,j,1,CUE3-0,1
Run3,0.8933181395684433,40,target,0.614,f,1,CUE3-0,1
Run3,0.8933181395684433,41,nonlure,0.586,j,1,CUE4-0,1
Run3,0.8933181395684433,42,nonlure,0.62,j,1,CUE4-0,1
Run3,0.8933181395684433,43,nonlure,0.84,j,1,CUE4-0,1
Run3,0.8933181395684433,44,lure,0.72,j,1,CUE4-0,1
Run3,0.8933181395684433,45,target,0.59,f,1,CUE4-0,1
Run3,0.8933181395684433,46,lure,0.88,j,1,CUE4-0,1
Run3,0.8933181395684433,47,nonlure,0.45,j,1,CUE4-0,1
Run3,0.8933181395684433,48,target,0.45,j,0,STIMULUS46-0,0
Run3,0.8933181395684433,49,nonlure,0.58,j,1,CUE4-0,1
Run3,0.8933181395684433,50,lure,0.51,j,1,CUE4-0,1
Run3,0.8933181395684433,51,target,0.54,f,1,CUE5-0,1
Run3,0.8933181395684433,52,nonlure,0.75,j,1,CUE5-0,1
Run3,0.8933181395684433,53,target,0.64,f,1,CUE5-0,1
Run3,0.8933181395684433,54,nonlure,0.76,j,1,CUE5-0,1
Run3,0.8933181395684433,55,nonlure,0.664,j,1,CUE5-0,1
Run3,0.8933181395684433,56,lure,0.56,j,1,CUE5-0,1
Run3,0.8933181395684433,57,nonlure,0.57,j,1,CUE5-0,1
Run3,0.8933181395684433,58,lure,0.625,j,1,CUE5-0,1
Run3,0.8933181395684433,59,nonlure,0.49,j,1,CUE5-0,1
Run3,0.8933181395684433,60,lure,0.56,j,1,CUE5-0,1
Run3,0.8933181395684433,61,nonlure,0.75,j,1,CUE6-0,1
Run3,0.8933181395684433,62,nonlure,0.78,j,1,CUE6-0,1
Run3,0.8933181395684433,63,target,0.71,f,1,CUE6-0,1
Run3,0.8933181395684433,64,lure,0.7,j,1,CUE6-0,1
Run3,0.8933181395684433,65,target,0.61,f,1,CUE6-0,1
